company,vacancy_count,share
Rheinmetall,3,0.0006
Ricola AG,3,0.0006
Rivia,3,0.0006
Sabag AG,3,0.0006
Salt Mobile SA,3,0.0006
Sanitas Krankenversicherung,3,0.0006
Semtech,3,0.0006
Sigma Suisse,3,0.0006
Sika Gesellschaften in der Schweiz,3,0.0006
Smart Energy Link AG,3,0.0006
Sonio AG,3,0.0006
Spital Thurgau AG,3,0.0006
St.Galler Stadtwerke,3,0.0006
Suva,3,0.0006
Swatch Group Services,3,0.0006
Swiss Casinos,3,0.0006
Swiss GRC AG,3,0.0006
Swisslog AG,3,0.0006
Sympany,3,0.0006
Syntegon Packaging Systems AG,3,0.0006
Sécheron SA,3,0.0006
TEAM PARTNERS Suisse SA - Groupe BLUESOFT,3,0.0006
TXT GROUP,3,0.0006
Talan,3,0.0006
Tanner + Co AG Verpackungstechnik,3,0.0006
Techyon,3,0.0006
Tempobrain AG,3,0.0006
Teoresi Group,3,0.0006
Threema GmbH,3,0.0006
Tocco AG,3,0.0006
Touring Club Suisse,3,0.0006
Trafag AG,3,0.0006
Trafigura,3,0.0006
UBP - Union Bancaire Privée,3,0.0006
Universität St. Gallen,3,0.0006
V-ZUG AG,3,0.0006
VP Bank AG,3,0.0006
Viessmann (Schweiz) GmbH,3,0.0006
Viollier AG,3,0.0006
Vitol SA,3,0.0006
Vontobel,3,0.0006
Vontobel Beteiligungen AG,3,0.0006
Walo Bertschinger AG,3,0.0006
World Intellectual Property Organization – WIPO,3,0.0006
Wüest Partner AG,3,0.0006
Xebia,3,0.0006
Ypsomed AG,3,0.0006
Zürcher Hochschule der Künste,3,0.0006
achermann ict-services ag,3,0.0006
bossinfo.ch AG,3,0.0006
cross-ING AG,3,0.0006
devs group,3,0.0006
dormakaba Schweiz AG,3,0.0006
exxo it-services AG,3,0.0006
ipt Innovation Process Technology,3,0.0006
lastminute.com group,3,0.0006
mobilezone ag,3,0.0006
p4b ag,3,0.0006
ridgeline ag,3,0.0006
u-blox AG,3,0.0006
valantic,3,0.0006
ADE photonExa GmbH,2,0.0004
AFRY,2,0.0004
ALSO Schweiz AG,2,0.0004
ALTIS Groupe SA,2,0.0004
AMAC Aerospace Switzerland AG,2,0.0004
API S.A.,2,0.0004
ASSA ABLOY (Schweiz) AG,2,0.0004
ASTRELYA,2,0.0004
AVM Engineering AG,2,0.0004
Aargauische Gebäudeversicherung,2,0.0004
Abrantix AG,2,0.0004
Actemium Schweiz AG,2,0.0004
AdVision Swiss AG,2,0.0004
Adfinis,2,0.0004
Akkodis,2,0.0004
Albedis SA,2,0.0004
Ammann Group,2,0.0004
Ampstek,2,0.0004
Andermatt Swiss Alps AG,2,0.0004
Anevo,2,0.0004
Antaes Consulting,2,0.0004
Aquantic AG,2,0.0004
Arcade Solutions AG,2,0.0004
Arcomed AG,2,0.0004
Auriga Informatik GmbH,2,0.0004
AurigaVision AG,2,0.0004
