company,vacancy_count,share
Machine Learning Architects Basel (MLAB),2,0.0004
Manufact (YC S25),2,0.0004
Martin Engineering AG,2,0.0004
McKinsey & Company,2,0.0004
Mettler Toledo,2,0.0004
Migros Bank AG,2,0.0004
"Mikron Switzerland AG, Zweigniederlassung Agno, Tool",2,0.0004
Mirabaud Group,2,0.0004
Mobility Cooperative,2,0.0004
My Sherpa,2,0.0004
NAGRA,2,0.0004
NUM AG,2,0.0004
Netkum AG,2,0.0004
Netsafe AG,2,0.0004
"NewWave Telecom & Technologies, Inc.",2,0.0004
Nitrochemie Wimmis AG,2,0.0004
Noser Engineering AG,2,0.0004
Novotec Engineering AG,2,0.0004
OTTO'S AG,2,0.0004
Object ECM AG,2,0.0004
On,2,0.0004
OneDoc,2,0.0004
Oneconsult AG,2,0.0004
Opacc Software AG,2,0.0004
Optiml,2,0.0004
Orange Business Switzerland AG,2,0.0004
Orderfox Schweiz AG,2,0.0004
Orion Rechtsschutz-Versicherung AG,2,0.0004
Overstory,2,0.0004
PHOENIQS,2,0.0004
PIDAS Aktiengesellschaft,2,0.0004
PLAIN IT AG,2,0.0004
ParetoLabs,2,0.0004
Peoplefone AG,2,0.0004
Perk,2,0.0004
Peter Park System GmbH,2,0.0004
Pictet Group,2,0.0004
Pilatus Aircraft Ltd,2,0.0004
PrimeIT Switzerland,2,0.0004
Primeo Energie,2,0.0004
PrismaLife AG,2,0.0004
ProfiLogic AG,2,0.0004
Pronovo AG,2,0.0004
Proofpoint,2,0.0004
Publicare AG,2,0.0004
Pure ICT AG,2,0.0004
QACube,2,0.0004
QESTIT DACH,2,0.0004
QSC,2,0.0004
Quantum Digital,2,0.0004
Quickline AG,2,0.0004
R. Nussbaum AG,2,0.0004
RIZ AG,2,0.0004
RONAL Wheels,2,0.0004
Raptus AG,2,0.0004
Rebsamen Technics AG,2,0.0004
RogerHR,2,0.0004
Ronal AG,2,0.0004
Rotzinger AG,2,0.0004
SAVVY® Telematic Systems AG,2,0.0004
SCHNEEBERGER AG Lineartechnik,2,0.0004
SGI,2,0.0004
SHL Medical AG,2,0.0004
SII Group Switzerland,2,0.0004
SIX,2,0.0004
SKAN AG,2,0.0004
SLYNET AG,2,0.0004
SR Technics Spain,2,0.0004
STRAPAG Strahm und Partner AG,2,0.0004
SUMEX AG,2,0.0004
Salt Mobile SA,2,0.0004
Schleuniger AG,2,0.0004
Schmid & Partner Engineering AG,2,0.0004
Schweizer Electronic AG,2,0.0004
Schweizer Paraplegiker-Zentrum,2,0.0004
Scotiabank,2,0.0004
Semtech (International) AG,2,0.0004
Senevita AG,2,0.0004
Senthorus SA,2,0.0004
ServiceNow,2,0.0004
SimplyVision GmbH,2,0.0004
Sixsentix,2,0.0004
SmartIT Services AG,2,0.0004
